ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma,Name,AllNames,Type,CST,N,CSTt,Nt,RAdeg,DEdeg,GLON,GLAT,r50,rc,rt,rtot,r50pc,rcpc,rtpc,rtotpc,pmRA,s_pmRA,e_pmRA,pmDE,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dist16,dist50,dist84,Ndist,globalPlx,X,Y,Z,RV,s_RV,e_RV,n_RV,CMDCl2.5,CMDCl16,CMDCl50,CMDCl84,CMDCl97.5,CMDClHuman,logAge16,logAge50,logAge84,AV16,AV50,AV84,diffAV16,diffAV50,diffAV84,MOD16,MOD50,MOD84,minClSize,isMerged,isGMMMemb,NXmatches,XmatchType
114.0,ASCC_10,Cantat-Gaudin+20,gaia_dr2,0.09471,0.01804141,0.08486486,0.01804141,0.116,0.41272059,0.009258,0.0,0.05514,0.05133,0.413,0.1547,Alessi-Teutsch_9,"ASCC_10,AT_9,Alessi-Teutsch_9,Alessi_Teutsch_9,MWSC_275,Theia_557",o,19.61973552,200.0,19.61973552,200.0,51.86276858,34.88647655,155.77690936,-17.85,1.07789302,0.7663884,5.24954288,5.24954288,12.19270139,8.66857805,59.54045476,59.54045476,-1.85298118,0.23539666,0.01664506,-1.3587419,0.24229764,0.01713303,1.50734992,0.05471922,0.00386923,647.08631374,648.03083294,648.97811351,187.0,0.0,-8685.00664818,253.08298913,-176.39656271,-16.80636544,13.22832089,1.44332814,84.0,0.9705,0.9938,0.99651361,0.9999423,0.9999823,,7.62346792,7.89134955,8.05322647,0.4601,0.70197535,0.8113209,0.5725,1.09454197,1.41489828,8.8166399,8.99573183,9.12098598,80.0,0.0,0.0,4.0,1:m
51.0,ASCC_101,Cantat-Gaudin+20,gaia_dr2,0.04468,0.01471313,0.06004817,0.01471313,0.03345,0.0,0.006609,0.0,1.803e-05,0.0,0.0,0.0,ASCC_101,"ASCC_101,Alessi_J1913.6+3619,LeDrew_6,MWSC_3070,Theia_445",o,21.06710304,224.0,21.70771231,207.0,288.34468256,36.35990257,68.00063836,11.64,0.65617649,0.49311861,3.03645952,6.87644233,4.5502022,3.41942556,21.07489357,47.91230574,0.96745283,0.31695743,0.02203006,1.28139139,0.43234759,0.03005023,2.50979239,0.11932614,0.00829374,397.0517163,397.29552501,397.53963333,174.0,0.0,-7976.00537292,360.78716632,100.61039893,-18.1155724,8.43435672,0.99399847,72.0,0.931,0.9865,0.99282083,0.99984455,0.99992186,,8.0212431,8.27605438,8.53732586,4.68e-06,0.09941535,0.15795422,0.007469,0.38151522,0.5566166,7.77080154,7.92665887,8.10007095,80.0,0.0,0.0,2.0,1:m
53.0,ASCC_105,Cantat-Gaudin+20,gaia_dr2,0.07076,0.02629565,0.05459502,0.02629565,0.09425,0.27227804,0.01699,0.0,0.004855,0.0,0.272,0.09076,ASCC_105,"ASCC_105,MWSC_3157,Theia_165,Theia_544",o,18.42512507,173.0,18.42512507,173.0,295.47160222,27.38609425,62.80833477,2.132,0.47671482,0.29115116,2.69075508,2.69075508,4.60418777,2.81194364,26.0062637,26.0062637,1.36975029,0.17030809,0.01294828,-1.61801442,0.20061794,0.0152527,1.77588144,0.05509127,0.00418851,552.83546827,553.35901037,553.88354502,150.0,0.0,-7869.22837856,491.86248384,40.73646454,-16.19158851,6.80973266,0.88655168,59.0,0.9877,0.998,0.99912083,0.99999976,0.99999976,,7.72025681,7.97047138,8.22111225,0.1295,0.29599361,0.44126365,0.4711,0.8450028,1.31280601,8.46114731,8.64296198,8.78637123,80.0,0.0,0.0,3.0,1:m
55.0,ASCC_107,Cantat-Gaudin+20,gaia_dr2,0.01353,0.02266465,0.03888323,0.02266465,0.04159,0.0,0.03425,0.0,0.01498,0.0,0.0,0.0,ASCC_107,"ASCC_107,MWSC_3185,Teutsch_J1948.5+2157",o,11.54781008,88.0,12.22893754,84.0,297.15176841,21.97962092,58.89091481,-1.896,0.1575319,0.15038437,0.59702515,0.92881517,2.38464479,2.27644819,9.03779385,14.06116913,-0.1965861,0.12962191,0.01414291,-5.12175031,0.12091092,0.01319246,1.11467165,0.05963672,0.0065069,865.31531893,867.31472195,869.32338604,79.0,0.0,-7674.17805499,742.1752963,-9.03313261,-10.37599586,16.10940161,3.51535963,21.0,0.9808,0.9954,0.99727648,0.99996758,0.9999758,,7.19466877,7.38596678,7.5967865,1.291,1.4809323,1.65592659,1.054,1.50203907,1.86968613,9.47654915,9.62269783,9.76776409,80.0,0.0,0.0,1.0,1:1
56.0,ASCC_108,Cantat-Gaudin+20,gaia_dr2,0.06314,0.04077976,0.05878547,0.04077976,0.04396,0.0,0.03714,0.0,0.0009961,0.0,0.0,0.0,ASCC_108,"ASCC_108,MWSC_3201,Theia_3446",o,23.7054574,305.0,23.7054574,305.0,298.38722026,39.34259987,74.40482717,6.017,0.37349648,0.31860761,1.54820915,1.54820915,7.51021338,6.40649113,31.13830447,31.13830447,-0.47504435,0.12203498,0.0069877,-1.72714394,0.15225871,0.00871831,0.83731149,0.05486646,0.00314164,1150.40102543,1152.07895887,1153.76179421,300.0,0.0,-7813.64693691,1103.55260079,140.76832009,-8.81347575,16.14290714,2.26045914,51.0,0.986,0.9972,0.9985154,0.99999213,0.99999213,,8.03799629,8.27994585,8.48975658,0.1755,0.3709195,0.47446659,0.6845,1.15399367,1.49658144,10.12280846,10.28228331,10.45308685,80.0,0.0,0.0,2.0,1:m
6.0,ASCC_11,Cantat-Gaudin+20,gaia_dr2,0.01574,0.02522083,0.02522083,0.02606123,0.0207,0.0,0.04237,0.0,0.04075,0.0,0.0,0.0,ASCC_11,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152",o,27.89348821,315.0,24.37121974,231.0,53.05042398,44.84076681,150.55167577,-9.238,0.1920744,0.24305534,0.60387783,0.76023292,2.76881847,3.50373425,8.70539632,10.95962118,0.90530141,0.15162631,0.00997628,-3.07237438,0.13206012,0.00868892,1.17058217,0.05007491,0.00329469,824.70038138,825.9352722,827.17386677,226.0,0.0,-8832.20569243,400.79571103,-109.97428856,-17.28520635,10.74674652,1.32283305,66.0,0.991,0.9982,0.99909198,0.99999863,0.99999863,,8.17350578,8.36957026,8.58653927,0.5259,0.72898781,0.90713358,0.5949,0.996622,1.36336172,9.37984848,9.52744007,9.67680836,20.0,0.0,0.0,2.0,m:m
57.0,ASCC_110,Cantat-Gaudin+20,gaia_dr2,0.01451,0.03391693,0.03573215,0.03391693,0.0271,0.0,0.02731,0.0,0.00251,0.0,0.0,0.0,ASCC_110,"ASCC_110,MWSC_3234,Theia_3854",o,13.94851187,135.0,15.8823155,121.0,300.72462084,33.52724535,70.40301505,1.39,0.15690127,0.26946744,0.42772885,0.771852,5.18145263,8.89884158,14.1253949,25.49084838,0.29810052,0.08410936,0.00764631,-3.15930599,0.10653635,0.00968512,0.48983675,0.05132536,0.00466594,1885.43180161,1892.11101437,1898.83771809,134.0,0.0,-7487.4251781,1781.98573427,65.06658571,-5.62738044,14.89131017,3.84491975,15.0,0.9265,0.9767,0.98630384,0.999632,0.99964988,TP,8.36505222,8.5500536,8.71626472,1.156,1.3288123,1.50068462,0.9055,1.35912675,1.65494227,11.21431541,11.35211515,11.49833107,80.0,0.0,0.0,2.0,m:m
58.0,ASCC_111,Cantat-Gaudin+20,gaia_dr2,0.05745,0.05348839,0.05348839,0.0711305,0.003871,0.0,0.05201,0.01301,0.01013,0.0,0.013,0.004337,ASCC_111,"ASCC_111,MWSC_3274,Theia_196",o,17.55382944,163.0,18.3678191,144.0,302.96058097,37.53095892,74.75722541,2.018,0.23850381,0.26710142,0.80762171,1.81933278,3.51321326,3.93446816,11.89716376,26.80802595,-1.14612856,0.12734156,0.0106118,-1.57601198,0.16780699,0.01398392,1.15987112,0.0639543,0.00532953,842.69093478,843.97450001,845.26198139,157.0,0.0,-7900.14595779,813.77846677,49.95758228,-14.19964618,36.12459869,6.38598718,32.0,0.9771,0.9951,0.99722368,0.99998569,0.99998569,TP,7.65475845,7.8956635,8.11672497,0.4883,0.67081201,0.81010175,0.9122,1.2702359,1.74933457,9.39629459,9.58100224,9.71513367,80.0,0.0,0.0,2.0,m:m
59.0,ASCC_113,Cantat-Gaudin+20,gaia_dr2,0.09554,0.04076281,0.09030065,0.04076281,0.02781,0.0,0.007418,0.0,0.002984,0.0,0.0,0.0,ASCC_113,"ASCC_113,MWSC_3480,Theia_461",o,32.27412782,491.0,25.93476246,344.0,317.96259567,38.54530468,82.82450625,-6.669,0.57609051,0.50269358,2.34375587,3.10187111,5.60485337,4.89072657,22.81463922,30.20697461,0.82781254,0.17270515,0.00931164,-3.68641795,0.20201826,0.01089209,1.77102656,0.04477697,0.00241421,557.08468374,557.41869802,557.75311306,318.0,0.0,-8052.98339045,549.31066521,-44.11364446,-6.49254903,6.23913769,0.51285396,148.0,0.987,0.9976,0.99881631,0.99999571,0.99999571,,7.9974699,8.26482534,8.48623085,0.0008373,0.10802431,0.16028425,0.05012,0.48163408,0.69095248,8.4617281,8.65436077,8.81862068,80.0,0.0,0.0,2.0,1:m
60.0,ASCC_114,Cantat-Gaudin+20,gaia_dr2,0.0434,0.05886383,0.10046711,0.05886383,0.01795,0.0,0.05423,0.03665,0.005206,0.0,0.0367,0.01222,ASCC_114,"ASCC_114,MWSC_3542,Theia_296",o,22.16186415,249.0,22.16186415,249.0,325.06281466,53.98983419,97.10953359,0.9942,0.19162338,0.17933491,0.73732524,0.73732524,3.06890181,2.87209716,11.80907699,11.80907699,-3.69805377,0.14651869,0.00928524,-3.47522941,0.15115095,0.0095788,1.06047174,0.06669148,0.0042264,916.42946743,917.60444455,918.78243847,229.0,0.0,-8235.48307093,910.41232067,37.01326471,-19.55419656,21.5561084,3.59268473,36.0,0.9743,0.9936,0.99648201,0.99994349,0.99994349,,7.30532455,7.51233816,7.67261028,0.8484,1.05556548,1.22465253,1.295,1.70343757,2.08970332,9.58899307,9.74336052,9.87276554,80.0,0.0,0.0,2.0,1:m
