Cluster,RAdeg,DEdeg,GLON,GLAT,r50,N,pmRA,s_pmRA,e_pmRA,pmDE,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dmode05,dmode16,dmode,dmode84,dmode95,dmode+01,dmode-01,X,Y,Z,Rgc
Alessi_15,100.767,1.672,210.49,-1.099,0.008,17.0,-0.182,0.202,0.045,0.469,0.234,0.077,0.093,0.082,0.022,5887.7,6537.8,8228.0,11114.2,13792.5,4513.7,46418.9,-7088.9,-4174.0,-157.8,15983.5
Alessi_18,114.295,-26.386,241.421,-2.555,0.019,27.0,-1.261,0.142,0.044,1.79,0.3,0.065,0.126,0.08,0.017,5931.3,6125.5,6456.7,6810.8,7073.5,3923.6,18193.3,-3085.6,-5664.4,-287.8,12752.7
Alessi_59,103.078,2.196,211.077,1.195,0.006,17.0,-0.54,0.165,0.047,0.283,0.31,0.081,0.227,0.075,0.017,3420.4,3601.6,3903.7,4266.1,4550.8,2807.9,6404.4,-3342.7,-2014.6,81.4,11855.1
Arp_Madore_2,114.683,-33.845,248.123,-5.884,0.026,33.0,-0.513,0.156,0.03,1.225,0.123,0.027,0.039,0.06,0.011,11674.6,12644.4,14624.6,17332.1,19635.5,5938.5,,-5420.6,-13499.9,-1499.1,19277.0
BH_222,259.694,-38.289,349.121,-0.443,0.02,129.0,-2.091,0.341,0.032,-3.192,0.245,0.024,0.114,0.183,0.016,6258.0,6537.4,6976.5,7515.4,7894.6,4114.3,23151.7,6850.9,-1316.6,-54.0,1987.7
Berkeley_5,26.928,62.935,129.282,0.759,0.019,31.0,-1.61,0.151,0.038,0.764,0.227,0.046,0.088,0.133,0.024,7170.7,7684.9,8555.1,9702.1,10651.4,4616.5,,-5416.1,6621.3,113.4,15266.7
Bica_3,276.519,-13.058,18.446,-0.417,0.016,89.0,-0.588,0.169,0.026,-1.598,0.222,0.031,0.391,0.094,0.011,2300.7,2331.6,2382.1,2432.6,2467.6,1923.2,3125.7,2259.6,753.7,-17.3,6126.9
Bochum_11,161.769,-60.096,288.012,-0.878,0.056,71.0,-6.335,0.115,0.013,1.742,0.138,0.016,0.389,0.045,0.005,2360.5,2372.4,2390.2,2406.6,2420.0,1929.0,3141.3,739.0,-2272.8,-36.6,7933.5
COIN-Gaia_13,83.186,42.087,167.459,4.776,1.003,165.0,-3.828,0.185,0.017,-1.676,0.172,0.014,1.927,0.092,0.008,509.6,510.4,511.3,512.2,512.9,486.4,538.8,-497.4,110.6,42.6,8838.0
DBSB_100,245.106,-50.902,332.843,-0.586,0.029,52.0,-2.94,0.18,0.026,-3.622,0.17,0.023,0.148,0.066,0.011,5159.3,5345.5,5652.8,5997.3,6258.0,3610.0,12997.7,5029.4,-2580.0,-57.8,4197.2
