Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
Berkeley 58,0,0,12,+,60,58,0,,11.0,2700,0.72,8.47,0.56,0.26,1.56,0.26,88,K14,-87.0,1.78,1,D14,,,0,
NGC 7801,0,0,21,+,50,44,30,r,8.0,1275,0.17,9.23,-3.56,0.36,-2.6,0.24,85,D14,,,0,,,,0,4-3-p-*
FSR 0459,0,0,39,+,59,14,20,IR,2.0,3800,1.103,8.95,-1.66,0.59,-0.01,0.59,8,K12,,,0,,,,0,
Stock 18,0,1,37,+,64,37,30,,6.0,1242,0.71,8.1,-2.78,0.15,-0.15,0.08,109,D14,,,0,,,,0,4-2-p-*
Berkeley 59,0,2,14,+,67,25,0,,10.0,1000,1.241,6.1,-2.11,0.81,-1.2,0.75,2,BDW,-5.17,9.48,3,D14,,,0,3-3-m-n
Berkeley 104,0,3,30,+,63,35,0,,3.0,4365,0.45,8.89,-2.35,0.31,-0.3,0.03,76,D14,,,0,,0.07,,0,4-2-p-*
Blanco 1,0,4,7,-,29,50,0,,70.0,269,0.01,7.796,20.17,0.51,3.0,0.51,27,TYC,5.53,0.11,49,M09,0.04,0.02,8,
Stock 19,0,4,41,+,56,5,0,,4.0,0,,,1.43,0.58,-2.04,0.19,42,D14,,,0,,,,0,2-2-p-*
NGC 7826,0,5,17,-,20,41,30,r,20.0,620,0.03,9.34,6.48,1.97,-6.2,1.18,39,D14,-4.62,2.39,1,D14,,,0,4-2-p-*
Majaess 1,0,7,22,+,64,58,22,IR,5.0,0,,,4.63,0.64,1.72,0.48,20,D14,,,0,,,,0,
Czernik 1,0,7,38,+,61,28,30,,2.5,2530,1.23,6.7,-3.83,0.86,1.66,0.86,5,K12,,,0,,,,0,4-2-m-*
SAI 1,0,8,20,+,51,43,15,,4.0,2170,0.34,9.1,0.31,0.92,-0.88,0.53,35,D14,,,0,,,,0,
Berkeley 1,0,9,36,+,60,28,30,,5.0,2420,0.78,8.6,-1.83,0.37,-0.75,0.27,135,D14,,,0,,,,0,3-1-p-*
ASCC 1,0,9,36,+,62,40,48,,24.0,4000,0.16,8.25,-3.27,0.08,1.19,0.04,1189,D14,-74.1,0.39,3,D14,,,0,
King 13,0,10,6,+,61,10,0,,5.0,3100,0.82,8.5,-4.15,0.11,-2.46,0.02,127,D14,,,0,,,,0,2-2-m-*
Alessi 20,0,10,34,+,58,45,36,e,40.0,600,0.22,6.48,8.73,0.53,-3.11,0.53,17,MAD,-11.5,4.2,1,D14,,,0,
