recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
1	P	Berkeley 58	00 00 12	+60 58 00		11.0	2700	0.72	8.47	K14	0.56	1.56	88	K14	-87.0	1	D14				WEBDA	Lynga
2		NGC 7801	00 00 21	+50 44 30	r	8.0	1275	0.17	9.23	D14	-3.56	-2.6	85	K14						4-3-p-*	WEBDA	Lynga
3		FSR 0459	00 00 39	+59 14 20	IR	2.0	3800	1.103	8.95	K12	-1.66	-0.01	8	K14							WEBDA	Lynga
4		Stock 18	00 01 37	+64 37 30		6.0	1242	0.71	8.1	D14	-2.78	-0.15	109	K14						4-2-p-*	WEBDA	Lynga
5		Berkeley 59	00 02 14	+67 25 00		10.0	1000	1.241	6.1	BDW	-2.11	-1.2	2	K14	-5.17	3	D14			3-3-m-n	WEBDA	Lynga
6		Berkeley 104	00 03 30	+63 35 00		3.0	4365	0.45	8.89	D14	-2.35	-0.3	76	K14				0.07		4-2-p-*	WEBDA	Lynga
7	P	Blanco 1	00 04 07	-29 50 00		70.0	269	0.01	7.796	TYC	20.17	3.0	27	K14	5.53	49	M09	0.04	8		WEBDA	Lynga
8		Stock 19	00 04 41	+56 05 00		4.0				D14	1.43	-2.04	42	K14						2-2-p-*	WEBDA	Lynga
9		NGC 7826	00 05 17	-20 41 30	r	20.0	620	0.03	9.34	D14	6.48	-6.2	39	K14	-4.62	1	D14			4-2-p-*	WEBDA	Lynga
10		Majaess 1	00 07 22	+64 58 22	IR	5.0				D14	4.63	1.72	20	K14							WEBDA	Lynga
11		Czernik 1	00 07 38	+61 28 30		2.5	2530	1.23	6.7	K12	-3.83	1.66	5	K14						4-2-m-*	WEBDA	Lynga
12		SAI 1	00 08 20	+51 43 15		4.0	2170	0.34	9.1	D14	0.31	-0.88	35	K14							WEBDA	Lynga
13	P	Berkeley 1	00 09 36	+60 28 30		5.0	2420	0.78	8.6	D14	-1.83	-0.75	135	K14						3-1-p-*	WEBDA	Lynga
14		ASCC 1	00 09 36	+62 40 48		24.0	4000	0.16	8.25	D14	-3.27	1.19	1189	K14	-74.1	3	D14				WEBDA	Lynga
