recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
1	0	1636-283	Kharchenko+13	hipparcos	2.978E-4	0.00236637	0.00397048	0.00236637	3.445	0.66272101	1.696	0.3213	0.04456	0.0	0.663	0.328
2	0	1636-283	Kharchenko+13	position	2.978E-4	0.00236637	0.00397048	0.00236637								
3		2MASS-GC01	Bica+18	position												
4		2MASS-GC02	Bica+18	position												
5		2MASS-GC02	Kharchenko+13	position,hipparcos												
6		ADS_12696	Bica+18	position												
7	1	ADS_16795	Bica+18	position	0.04397	0.00517922	0.65957154	0.00517922								
8	2	AH03_J0748+26.9	Bica+18	position	0.01706	0.11660272	0.51178253	0.11660272								
9	2	AH03_J0748+26.9	Dias+02	position	0.02773	0.18954122	0.83191786	0.18954122								
10		AH03_J0822+36.4	Dias+02	position												
11		AH03_J0822+36.4	Kharchenko+13	position,hipparcos												
12		AH03_J1725+34.4	Dias+02	position												
13		AH03_J2011+26.7	Bica+18	position												
14		AH03_J2011+26.7	Dias+02	position												
15	158	AL_1	Bica+18	position	0.007368	0.04780414	0.44206493	0.04780414								
16		AL_2	Bica+18	position												
17	174	AL_3	Bica+18	position	0.003838	0.01454253	0.23026612	0.01454253								
18		AM_1	Bica+18	position												
19		AM_2	Bica+18	position												
20		AM_3	Bica+08	position_(magellanic_clouds)												
21		AM_4	Bica+18	position												
22		AM_4	Vasiliev+21	gaia_dr3												
23		AM_5	Bica+18	position												
24		ASCC_1	Dias+02	position												
25		ASCC_1	Kharchenko+13	position,hipparcos												
26		ASCC_1	Bica+18	position												
27	114	ASCC_10	Kharchenko+13	hipparcos	0.1644	0.03131246	0.31014356	0.03131246	1.047	0.27415803	0.2413	0.05259	0.1146	0.4058	0.406	0.2442
28	114	ASCC_10	Cantat-Gaudin+20	gaia_dr2	0.09471	0.01804141	0.08486486	0.01804141	0.116	0.41272059	0.009258	0.0	0.05514	0.05133	0.413	0.1547
29	114	ASCC_10	Kharchenko+13	position	0.1644	0.03131246	0.31014356	0.03131246								
30	50	ASCC_100	Kharchenko+13	position	0.02599	0.00891604	0.07121184	0.00891604								
31	50	ASCC_100	Dias+02	position	0.03096	0.01061888	0.09985971	0.01061888								
32	50	ASCC_100	Kharchenko+13	hipparcos	0.02599	0.00891604	0.07121184	0.00891604	0.4678	0.09859853	1.451	0.3306	0.08223	0.1013	0.331	0.1768
