ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
0,1636-283,Kharchenko+13,hipparcos,2.978E-4,0.00236637,0.00397048,0.00236637,3.445,0.66272101,1.696,0.3213,0.04456,0.0,0.663,0.328
0,1636-283,Kharchenko+13,position,2.978E-4,0.00236637,0.00397048,0.00236637,,,,,,,,
0,2MASS-GC01,Bica+18,position,,,,,,,,,,,,
0,2MASS-GC02,Bica+18,position,,,,,,,,,,,,
0,2MASS-GC02,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ADS_12696,Bica+18,position,,,,,,,,,,,,
1,ADS_16795,Bica+18,position,0.04397,0.00517922,0.65957154,0.00517922,,,,,,,,
2,AH03_J0748+26.9,Bica+18,position,0.01706,0.11660272,0.51178253,0.11660272,,,,,,,,
2,AH03_J0748+26.9,Dias+02,position,0.02773,0.18954122,0.83191786,0.18954122,,,,,,,,
0,AH03_J0822+36.4,Dias+02,position,,,,,,,,,,,,
0,AH03_J0822+36.4,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,AH03_J1725+34.4,Dias+02,position,,,,,,,,,,,,
0,AH03_J2011+26.7,Bica+18,position,,,,,,,,,,,,
0,AH03_J2011+26.7,Dias+02,position,,,,,,,,,,,,
158,AL_1,Bica+18,position,0.007368,0.04780414,0.44206493,0.04780414,,,,,,,,
0,AL_2,Bica+18,position,,,,,,,,,,,,
174,AL_3,Bica+18,position,0.003838,0.01454253,0.23026612,0.01454253,,,,,,,,
0,AM_1,Bica+18,position,,,,,,,,,,,,
0,AM_2,Bica+18,position,,,,,,,,,,,,
0,AM_3,Bica+08,position_(magellanic_clouds),,,,,,,,,,,,
0,AM_4,Bica+18,position,,,,,,,,,,,,
0,AM_4,Vasiliev+21,gaia_dr3,,,,,,,,,,,,
0,AM_5,Bica+18,position,,,,,,,,,,,,
0,ASCC_1,Dias+02,position,,,,,,,,,,,,
0,ASCC_1,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_1,Bica+18,position,,,,,,,,,,,,
114,ASCC_10,Kharchenko+13,hipparcos,0.1644,0.03131246,0.31014356,0.03131246,1.047,0.27415803,0.2413,0.05259,0.1146,0.4058,0.406,0.2442
114,ASCC_10,Cantat-Gaudin+20,gaia_dr2,0.09471,0.01804141,0.08486486,0.01804141,0.116,0.41272059,0.009258,0.0,0.05514,0.05133,0.413,0.1547
114,ASCC_10,Kharchenko+13,position,0.1644,0.03131246,0.31014356,0.03131246,,,,,,,,
50,ASCC_100,Kharchenko+13,position,0.02599,0.00891604,0.07121184,0.00891604,,,,,,,,
50,ASCC_100,Dias+02,position,0.03096,0.01061888,0.09985971,0.01061888,,,,,,,,
50,ASCC_100,Kharchenko+13,hipparcos,0.02599,0.00891604,0.07121184,0.00891604,0.4678,0.09859853,1.451,0.3306,0.08223,0.1013,0.331,0.1768
50,ASCC_100,Bica+18,position,0.03096,0.01061888,0.21851654,0.01061888,,,,,,,,
51,ASCC_101,Bica+18,position,0.05648,0.01859991,0.37651917,0.01859991,,,,,,,,
51,ASCC_101,Kharchenko+13,position,0.02559,0.00842775,0.05118102,0.00842775,,,,,,,,
51,ASCC_101,Dias+02,position,0.05648,0.01859991,0.15688299,0.01859991,,,,,,,,
51,ASCC_101,Kharchenko+13,hipparcos,0.02559,0.00842775,0.05118102,0.00842775,0.1575,0.0269675,2.119,0.5192,0.2378,0.612,0.612,0.386
51,ASCC_101,Cantat-Gaudin+20,gaia_dr2,0.04468,0.01471313,0.06004817,0.01471313,0.03345,0.0,0.006609,0.0,1.803E-5,0.0,0.0,0.0
0,ASCC_102,Bica+18,position,,,,,,,,,,,,
0,ASCC_102,Dias+02,position,,,,,,,,,,,,
0,ASCC_102,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
5400,ASCC_103,Kharchenko+13,position,0.04886,0.01708581,0.17450471,0.01708581,,,,,,,,
52,ASCC_104,Kharchenko+13,position,0.06364,0.04363493,0.1591017,0.04363493,,,,,,,,
52,ASCC_104,Bica+18,position,0.07506,0.05146416,0.50039642,0.05146416,,,,,,,,
2145,ASCC_104,Dias+02,position,0.1507,0.3021263,0.31389898,0.3021263,,,,,,,,
2145,ASCC_104,Kharchenko+13,hipparcos,0.1382,0.27716976,0.34556397,0.27716976,0.5646,0.15208696,0.9084,0.2537,0.2009,1.046,1.05,0.484
2145,ASCC_104,Kharchenko+13,position,0.1382,0.27716976,0.34556397,0.27716976,,,,,,,,
52,ASCC_104,Dias+02,position,0.07506,0.05146416,0.15637388,0.05146416,,,,,,,,
53,ASCC_105,Dias+02,position,0.02727,0.01013507,0.04545164,0.01013507,,,,,,,,
53,ASCC_105,Kharchenko+13,position,0.07252,0.02695298,0.15430611,0.02695298,,,,,,,,
53,ASCC_105,Kharchenko+13,hipparcos,0.07252,0.02695298,0.15430611,0.02695298,0.5698,0.14674855,2.832,0.7855,0.2171,0.7414,0.785,0.5579
53,ASCC_105,Bica+18,position,0.02727,0.01013507,0.13635493,0.01013507,,,,,,,,
