map,cmd,stars,MWSC,Name,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
map,cmd,stars,0001,Berkeley_58,,0.067,60.933,0.025,0.087,0.155,0.56,1.56,,2700.0,0.72,8.47,1.12,13.66,5.19,,,Simbad
map,cmd,stars,0002,NGC_7801,,0.082,50.727,0.015,0.07,0.156,-3.2,-3.47,,1953.0,0.146,9.255,0.61,9.93,2.67,,,Simbad
map,cmd,stars,0003,FSR_0459,,0.127,59.242,0.018,0.055,0.09,-1.66,-0.01,,2926.0,1.145,7.8,0.39,7.65,5.62,irc,,Simbad
map,cmd,stars,0004,Stock_18,,0.397,64.625,0.01,0.05,0.08,-3.59,-1.15,,774.0,0.177,8.68,0.16,2.14,355.57,,,Simbad
map,cmd,stars,0005,Berkeley_59,,0.559,67.425,0.035,0.115,0.22,-3.2,-1.11,-12.5,1000.0,1.241,6.1,0.55,6.51,153.96,,,Simbad
map,cmd,stars,0006,Cep_OB4,a,0.735,67.5,0.12,0.345,0.76,-0.93,-2.58,0.0,850.0,1.099,6.1,9.54,13.56,16.73,ass,,Simbad
map,cmd,stars,0007,Blanco_1,,0.885,-30.0,0.5,1.4,2.35,19.71,2.28,5.5,250.0,0.012,7.75,2.82,10.93,24.84,,-0.188,Simbad
map,cmd,stars,0008,Berkeley_104,,0.852,63.58,0.018,0.055,0.135,-4.57,-4.37,,3599.0,0.606,8.805,1.13,14.92,4.51,,0.07,Simbad
map,cmd,stars,0009,IRAS_00013+6817,,0.996,68.565,0.01,0.055,0.09,-3.52,-1.55,,1338.0,0.833,7.15,0.73,5.69,1.69,irc,,Simbad
map,cmd,stars,0014,FSR_0504,,1.455,81.84,0.01,0.045,0.08,-3.57,7.83,,3744.0,0.104,9.45,0.49,10.62,5.03,,,Simbad
map,cmd,stars,0016,BDB_94,r,1.68,65.629,0.015,0.045,0.085,-2.73,-2.39,,1700.0,1.399,7.4,0.14,4.52,34.14,irc,,Simbad
map,cmd,stars,0017,Czernik_1,,1.902,61.49,0.012,0.03,0.07,-3.83,1.66,,2609.0,0.833,7.76,0.44,4.46,8.81,,,Simbad
map,cmd,stars,0018,SAI_1,,2.112,51.724,0.012,0.045,0.065,-4.2,-1.78,,1905.0,0.312,9.27,0.26,2.93,27.2,,,Simbad
